,Balanced Accuracy Score,High Risk Precision Score,Low Risk Precision Score,High Risk Recall Score,Low Risk Recall Score,High Risk F1 Score,Low Risk F1 Score
Naive Random Oversampling,0.6285327805778149,0.0088390277069522,0.9969086733792616,0.5977011494252874,0.6593644117303423,0.0174204355108877,0.7937412095639944
SMOTE Oversampling,0.6417211565966053,0.0092672043933413,0.997099666022148,0.6206896551724138,0.6627526580207969,0.018261751775448,0.796252105558675
Cluster Centroids Undersampling,0.5300701822239949,0.005574912891986,0.9956703910614524,0.6436781609195402,0.4164622035284496,0.0110540860639557,0.5872806656231979
SMOTEENN Hybrid Sampling,0.651763016143523,0.0091161928306551,0.997391223329917,0.6781609195402298,0.6253651127468162,0.0179905473395334,0.7687336181824709
Balanced Random Forest Ensemble,0.7877672625306695,0.03584672435105068,0.9981394752036954,0.6666666666666666,0.9088678583946723,0.06803519061583578,0.9514141568567497
Easy Ensemble AdaBoost,0.9197970678173006,0.07407407407407407,0.99944279346211,0.896551724137931,0.9430424114966701,0.1368421052631579,0.9704238052299368
